name,type,growth_tier,crash_growth,recovery_rank,exp_growth_18m,P(>25% fall),recover_6m_if_falls_by18m,recover_12m_if_falls_by18m,recover_18m_if_falls_by18m,recover_by_1y_if_falls,recover_by_2y_if_falls,recover_by_3y_if_falls,gt3y_tail_unconditional,permanence_factor,true_permanent_loss,perm_vs_SP_multiple,reward_vs_SP,reward_vs_SCHD,growth_per_fall,delta_tail_30d
Nebius Group,stock,High,secular,watch,1.5,0.813,0.182,0.335,0.418,0.335,0.471,0.541,0.373,0.6,0.224,1.9,8.67,9.35,1.85,
IREN Limited,stock,High,secular,watch,0.85,0.825,0.206,0.365,0.45,0.365,0.504,0.575,0.351,0.6,0.211,1.8,5.22,5.63,1.03,
CoreWeave,stock,High,cyclical,cyclical — needs TAM rebound,0.6,0.813,0.13,0.255,0.325,0.255,0.372,0.436,0.459,0.8,0.367,2.4,2.82,3.04,0.74,-0.003
Credo Technology,stock,High,secular,PEG-fast / MC-uncertain,0.55,0.735,0.164,0.317,0.402,0.317,0.461,0.534,0.342,0.5,0.171,1.8,3.46,3.73,0.75,-0.001
TeraWulf,stock,High,secular,watch,0.55,0.853,0.192,0.345,0.428,0.345,0.48,0.547,0.386,0.7,0.271,2.0,3.07,3.31,0.65,
Micron,stock,High,cyclical,cyclical high-growth / rebound-dependent,0.5,0.633,0.0,0.0,0.389,0.0,0.454,0.532,0.296,0.55,0.163,1.5,3.64,3.92,0.79,-0.008
DRAM (Roundhill Memory),ETF,High,cyclical,cyclical high-growth / rebound-dependent,0.45,0.571,0.0,0.0,0.379,0.0,0.445,0.529,0.269,0.25,0.067,1.4,3.61,3.89,0.79,-0.004
SoundHound AI,stock,High,secular,watch,0.45,0.835,0.184,0.334,0.416,0.334,0.469,0.535,0.388,0.72,0.279,2.0,2.5,2.7,0.54,-0.001
IonQ,stock,High,broken,broken thesis — avoid unless evidence changes,0.44,0.747,0.076,0.176,0.242,0.176,0.287,0.347,0.488,0.85,0.415,2.5,1.94,2.1,0.59,-0.001
ARKK (ARK Innovation),ETF,High,broken,broken thesis — avoid unless evidence changes,0.42,0.733,0.081,0.192,0.271,0.192,0.328,0.4,0.439,0.35,0.154,2.3,2.06,2.22,0.57,-0.001
NVIDIA,stock,Moderate,secular,diversified / safe (buyback earn-back),0.4,0.482,0.206,0.413,0.531,0.413,0.604,0.7,0.145,0.35,0.051,0.7,5.97,6.43,0.83,-0.003
Applied Digital,stock,Moderate,secular,diversified / safe (buyback earn-back),0.4,0.833,0.184,0.337,0.418,0.337,0.47,0.538,0.385,0.65,0.25,2.0,2.24,2.42,0.48,
Uranium Energy,stock,Moderate,secular,diversified / safe (buyback earn-back),0.4,0.755,0.136,0.274,0.357,0.274,0.407,0.476,0.395,0.6,0.237,2.0,2.18,2.35,0.53,
Palantir,stock,Moderate,secular,diversified / safe (buyback earn-back),0.35,0.53,0.181,0.375,0.486,0.375,0.56,0.65,0.186,0.6,0.111,1.0,4.07,4.38,0.66,-0.003
Lumentum,stock,Moderate,cyclical,cyclical — needs TAM rebound,0.35,0.672,0.0,0.267,0.351,0.267,0.406,0.477,0.352,0.55,0.193,1.8,2.15,2.31,0.52,-0.0
Broadcom,stock,Moderate,secular,diversified / safe (buyback earn-back),0.35,0.472,0.127,0.287,0.4,0.287,0.473,0.566,0.205,0.38,0.078,1.1,3.68,3.97,0.74,0.019
Cipher Mining,stock,Moderate,secular,diversified / safe (buyback earn-back),0.35,0.853,0.193,0.345,0.427,0.345,0.479,0.544,0.389,0.7,0.272,2.0,1.94,2.09,0.41,
Core Scientific,stock,Moderate,secular,diversified / safe (buyback earn-back),0.35,0.831,0.192,0.343,0.426,0.343,0.479,0.546,0.378,0.6,0.227,1.9,2.0,2.15,0.42,
Innodata,stock,Moderate,secular,diversified / safe (buyback earn-back),0.35,0.786,0.174,0.322,0.408,0.322,0.462,0.53,0.369,0.6,0.222,1.9,2.04,2.2,0.45,
Marvell,stock,Moderate,cyclical,cyclical — needs TAM rebound,0.32,0.515,0.0,0.386,0.501,0.386,0.576,0.667,0.172,0.48,0.082,0.9,4.02,4.33,0.62,-0.002
CHAT (Roundhill GenAI),ETF,Moderate,secular,diversified / safe (buyback earn-back),0.32,0.446,0.103,0.25,0.353,0.25,0.422,0.521,0.214,0.2,0.043,1.1,3.23,3.48,0.72,-0.003
Astera Labs,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.698,0.253,0.445,0.545,0.445,0.611,0.688,0.218,0.65,0.142,1.1,2.97,3.2,0.43,-0.003
AMD,stock,Moderate,cyclical,cyclical — needs TAM rebound,0.3,0.466,0.126,0.305,0.42,0.305,0.499,0.604,0.185,0.45,0.083,1.0,3.5,3.77,0.64,-0.002
SMH (VanEck Semis),ETF,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.462,0.111,0.263,0.363,0.263,0.437,0.529,0.217,0.18,0.039,1.1,2.97,3.21,0.65,-0.003
Taiwan Semiconductor,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.493,0.094,0.225,0.317,0.225,0.384,0.468,0.263,0.3,0.079,1.4,2.46,2.66,0.61,-0.002
Samsara,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.688,0.126,0.263,0.346,0.263,0.4,0.467,0.366,0.45,0.165,1.9,1.77,1.9,0.44,-0.001
Tempus AI,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.751,0.139,0.28,0.362,0.28,0.414,0.482,0.389,0.65,0.253,2.0,1.66,1.79,0.4,-0.0
NuScale Power,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.836,0.182,0.331,0.412,0.331,0.463,0.529,0.394,0.7,0.275,2.0,1.64,1.77,0.36,0.0
Klaviyo,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.655,0.118,0.256,0.339,0.256,0.394,0.467,0.349,0.45,0.157,1.8,1.85,2.0,0.46,
Rubrik,stock,Moderate,secular,diversified / safe (buyback earn-back),0.3,0.695,0.12,0.254,0.338,0.254,0.393,0.461,0.375,0.55,0.206,1.9,1.73,1.86,0.43,
